they | they | person:Pronoun | arrested | arrest | Michael Stewart | Michael Stewart | person:Stanford
they | they | person:Pronoun | arrested Michael Stewart in | arrest Michael Stewart in | 1983 | 1983 | number:NUM,time_unit:Stanford
Michael Stewart | Michael Stewart | person:Stanford | was arrested early on Sept. 15 , 1983 within | be arrest on Sept. , within | an hour he was comatose in Bellevue Hospital Center | Bellevue Hospital Center | organization:Stanford,location:Stanford
he | he | person:Pronoun | was comatose in | be in | Bellevue Hospital Center | Bellevue Hospital Center | organization:Stanford,location:Stanford
Manhattan prosecutors | prosecutor | person:WordNet | sought to convict | seek to convict | three officers of negligent homicide | officer | person:WordNet
Manhattan prosecutors | prosecutor | person:WordNet | to convict | to convict | three officers of negligent homicide | officer | person:WordNet
a jury | jury |  | be acquitted in | be acquit in | six | six | number:NUM
the New York City Transit Authority | New York City Transit Authority | organization:Stanford | took | take | an unusually responsible step | step | 
any transit officer | officer | person:WordNet | beat | beat | Mr. Stewart | Mr. Stewart | person:Stanford
any such beating | beating |  | contributed to | contribute to | his death | death | 
he | he | person:Pronoun | singled out | single out | the arresting officer | officer | person:WordNet
he | he | person:Pronoun | was taken to | be take to | Bellevue | Bellevue | location:Stanford
Mr. Stewart 's wrists and ankles | wrist |  | were bound together in | be bind in | a ''hog-tied '' manner | manner | 
it | it |  | was quickly turned over to | be turn over to | prosecutors | prosecutor | person:WordNet
Mr. Kiley | Mr. Kiley | person:Stanford | has wisely appointed | appoint | a three-member committee of the M.T.A. board | board | organization:WordNet
Klaus Barbie | Klaus Barbie | person:Stanford | be the former Gestapo chief in | be Gestapo chief in | Lyons | Lyons | location:Stanford
French judicial officials | official | person:WordNet | said in | say in | today | today | time_unit:Stanford
the trial | trial | activity:WordNet | would probably be scheduled for | be schedule for | the spring or early summer | spring | time_period:WordNet,time_unit:Stanford
the trial | trial | activity:WordNet | would probably be scheduled despite | be schedule despite | the hospitalization of Mr. Barbie | Mr. Barbie | person:Stanford
He | He | person:Pronoun | is being examined Barbie Admitted by | be be examine Barbie Admitted by | doctors | doctor | person:WordNet
He | He | person:Pronoun | is being examined | be be examine | Barbie Admitted | Barbie Admitted | organization:Stanford
He | He | person:Pronoun | is being examined Barbie Admitted to | be be examine Barbie Admitted to | Hospital | Hospital | organization:Stanford
Mr. Barbie | Mr. Barbie | person:Stanford | was admitted to | be admit to | a hospital | hospital | building:WordNet,structure:WordNet
